ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
608670,7,Empire West/Maple Leaf,63,POU,BUF,B,07B,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,358,13,102,4,70,NULL,NULL,NULL,NULL,8,80,80,40,60,80,90,60,70,70,80,NULL,70,70,70,80,1,70,50,40,30,50,30,50,80,70,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,50,80,70,40,60,60,NULL,40,50,70,NULL,60,70,70,70
608671,7,Empire West/Maple Leaf,64,CBN,ALB,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,321,0,90,2,100,100,NULL,NULL,NULL,8,100,100,100,100,100,100,100,100,100,100,NULL,100,100,80,100,1,80,90,100,90,90,60,80,80,90,NULL,NULL,1,70,100,50,50,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90,90,90,100,100,80,70,60,60,80,NULL,90,80,80,80
608672,7,Empire West/Maple Leaf,281,CRT,ROC,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,338,2,44,4,80,80,NULL,NULL,NULL,8,80,80,80,80,80,80,80,80,80,70,NULL,70,60,70,60,2,NULL,NULL,NULL,70,80,70,NULL,80,90,NULL,NULL,1,70,80,80,70,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,50,60,50,50,50,70,80,NULL,70,70,NULL,70,70,80,75
608673,7,Empire West/Maple Leaf,283,HUD,BFX,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,323,18,46,4,90,80,NULL,NULL,NULL,2,100,100,60,80,100,100,90,90,90,80,NULL,80,10,80,80,1,40,20,70,60,60,70,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,80,100,100,100,60,70,20,20,40,70,NULL,60,70,80,75
608674,7,Empire West/Maple Leaf,64,NFS,YNY,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,448,14,68,2,90,100,NULL,NULL,NULL,8,70,60,80,80,80,80,60,80,80,80,NULL,80,60,60,80,2,NULL,NULL,50,100,80,80,70,80,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,70,70,70,80,NULL,80,80,90,85
608675,7,Empire West/Maple Leaf,283,NYP,SYR,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,290,0,14,2,100,100,NULL,NULL,NULL,8,100,100,50,40,100,100,0,50,50,100,NULL,90,0,50,100,1,0,0,50,50,50,50,50,50,50,NULL,NULL,1,50,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,50,NULL,50,50,50,50
608676,7,Empire West/Maple Leaf,280,ROC,NYP,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,370,8,2,2,100,100,NULL,NULL,NULL,2,100,100,90,80,100,90,90,90,90,80,NULL,80,90,80,60,1,80,80,90,100,90,90,100,100,100,NULL,NULL,1,80,90,80,60,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,80,80,80,90,NULL,90,90,90,90
608677,7,Empire West/Maple Leaf,280,SYR,ALB,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,149,10,21,2,100,NULL,NULL,NULL,NULL,8,100,100,100,100,100,80,90,90,90,90,NULL,100,60,80,100,1,70,80,80,NULL,100,80,80,90,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,70,100,70,70,60,80,NULL,NULL,90,90,NULL,100,80,70,75
608678,7,Empire West/Maple Leaf,64,SYR,NYP,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,290,114,66,3,20,80,NULL,NULL,NULL,8,80,80,40,60,80,50,50,50,50,70,NULL,70,50,50,60,1,10,10,50,10,10,10,70,70,80,NULL,NULL,1,50,80,40,20,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,70,20,30,30,50,50,NULL,50,50,NULL,40,40,50,45
608679,7,Empire West/Maple Leaf,280,SYR,NYP,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,290,10,2,3,100,NULL,NULL,NULL,NULL,8,100,100,100,90,NULL,50,90,90,90,90,NULL,80,40,90,100,1,90,100,50,NULL,40,100,50,100,70,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,50,50,50,90,NULL,90,90,100,95
608680,7,Empire West/Maple Leaf,284,UCA,NYP,C,07C,07A,SC,12/26/2017,201712,2018,,SDWF,1,151,237,49,75,4,100,100,NULL,NULL,NULL,8,90,100,100,100,100,70,100,100,90,100,NULL,100,90,100,100,1,50,90,100,90,100,60,100,100,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,90,NULL,90,90,100,95
609371,7,Empire West/Maple Leaf,284,BFX,NYP,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,437,1,-9,4,100,NULL,NULL,NULL,NULL,8,100,100,NULL,NULL,80,80,80,80,90,100,NULL,100,30,100,100,1,90,40,80,100,80,100,90,100,100,NULL,NULL,1,60,100,100,100,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,20,100,20,40,30,80,40,50,50,80,NULL,90,90,100,95
609372,7,Empire West/Maple Leaf,284,BUF,ALB,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,290,3,10,2,100,100,NULL,NULL,NULL,8,90,90,90,90,80,100,90,90,90,80,NULL,90,50,80,80,2,NULL,NULL,90,90,100,100,90,90,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,90,100,90,90,90,90,90,100,NULL,100,100,100,100
609373,7,Empire West/Maple Leaf,283,NYP,NFL,C,07C,07A,SC,12/27/2017,201712,2018,,SDWF,1,151,460,0,599,2,90,90,NULL,NULL,NULL,8,90,90,90,90,90,90,90,90,90,70,NULL,80,50,90,90,2,NULL,NULL,90,90,90,0,90,10,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,90,NULL,10,10,10,10
